VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesPrice,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
1128,BROWN-FORMAN CORP,1906,Jack Daniels Tenn Fire VAP,20,26,750,1463,28806,1457,23485,33514,1148,68602,4708,14,1,1
9815,WINE GROUP INC,41711,Fish Eye Cab Svgn,3,5,750,8946,28806,8980,26123,48903,998,27100,20097,41,1,2
4425,MARTIGNETTI COMPANIES,15233,Flowers Chard Sonoma Cst,29,50,750,986,28801,843,20436,39242,94,144929,10441,27,1,1
1392,CONSTELLATION BRANDS INC,4386,Casa Noble Reposado,34,50,750,838,28777,677,25539,31413,534,79529,2636,8,1,1
660,SAZERAC NORTH AMERICA INC.,5606,Montezuma Blue Tequila Liqu,7,10,1750,3987,28667,3964,3007,39600,7283,17932,10934,28,1,1
17035,PERNOD RICARD USA,6596,Kenwood Svgn Bl Sonoma,6,12,750,4800,28656,4657,25742,50342,518,123780,21686,43,1,2
6785,PALM BAY INTERNATIONAL INC,25603,Verrazzano Chianti Clsc,11,18,750,2513,28648,2493,23686,44422,277,13605,15774,36,1,2
8004,SAZERAC CO INC,5087,Dr McGillicuddy's Peach,9,16,750,3061,28620,2277,23296,32059,1795,50294,3439,11,1,1
9165,ULTRA BEVERAGE COMPANY LLP,19989,Querceto Sangiovese,5,8,750,5441,28620,5335,9982,37445,598,68055,8825,24,1,1
12546,JIM BEAM BRANDS COMPANY,1347,Bakers Bourbon,31,40,750,916,28616,1221,40470,48828,963,123881,20212,41,1,2
3252,E & J GALLO WINERY,19545,Darkhorse Red,5,8,750,5405,28592,5174,22164,41340,575,61967,12748,31,1,1
4425,MARTIGNETTI COMPANIES,32090,Rutherford Ranch Cab Svgn,12,19,750,2442,28523,2371,31660,50895,263,144929,22373,44,1,2
4425,MARTIGNETTI COMPANIES,26708,Monte del Fra Amarone Valpol,45,65,750,636,28506,260,3241,14083,29,144929,-14423,-102,0,0
9744,FREDERICK WILDMAN & SONS,26885,Jolivet Sancerre,13,20,750,2180,28493,2086,21727,42593,232,4000,14101,33,1,1
11567,CAMPARI AMERICA,4480,Appleton Special Gold Rum,10,13,750,2872,28490,3131,35655,44056,2469,20965,15565,35,1,2
1392,CONSTELLATION BRANDS INC,15892,Red Guitar Sangria,3,5,750,8451,28480,8309,20773,43566,926,79529,15086,35,1,2
17033,SEA BREEZE CELLARS LLC,36284,Gruet Brut New Mexico,8,15,750,3593,28349,3416,25950,54854,381,550,26505,48,1,2
2000,SOUTHERN WINE & SPIRITS NE,11238,Willamette Whole Clst Pnt Nr,13,21,750,2141,28347,2035,25260,43183,226,19017,14836,34,1,2
9744,FREDERICK WILDMAN & SONS,6692,Jaboulet Cotes du Rhone Par,7,12,750,4241,28330,3471,16258,38617,387,4000,10287,27,1,1
1392,CONSTELLATION BRANDS INC,38348,Nobilo Icon Svgn Bl Marlboro,9,14,750,3056,28299,2951,22155,41630,328,79529,13332,32,1,1
17035,PERNOD RICARD USA,1339,The Glenlivet 12 Yr Single,35,48,1000,799,28269,837,27954,39731,879,123780,11462,29,1,1
9819,TREASURY WINE ESTATES,25538,St Clement Svgn Bl,8,12,750,3412,28217,3086,16822,37001,344,14837,8784,24,1,1
8673,STE MICHELLE WINE ESTATES,39648,Ch Ste Michelle Indn W Chard,9,15,750,3120,28174,3046,24122,46485,339,15920,18311,39,1,2
1392,CONSTELLATION BRANDS INC,27808,Blackstone Chard Monterey,5,8,750,6205,28171,6286,21354,50086,701,79529,21915,44,1,2
9552,M S WALKER INC,25561,Stateland Cellars Cab Svgn 1,7,10,750,3945,28167,3945,9388,39425,443,55552,11257,29,1,1
3252,E & J GALLO WINERY,36623,Talbott Sleepy Hollow Chard,20,29,750,1428,28160,1350,18094,39467,150,61967,11306,29,1,1
3960,DIAGEO NORTH AMERICA INC,7891,DeLeon Platinum Tequila,36,50,750,783,28157,795,29848,33877,627,257032,5720,17,1,1
4425,MARTIGNETTI COMPANIES,39979,Little Penguin Chard Ausl,8,15,1500,3591,28153,3579,23789,44517,800,144929,16364,37,1,2
8352,LUXCO INC,1897,Old Ezra 7Yr Bourbon,18,25,750,1543,28144,370,6797,9246,292,10262,-18898,-204,0,0
9165,ULTRA BEVERAGE COMPANY LLP,7725,Great Western Brut,6,9,750,4631,28110,4441,15395,44366,496,68055,16255,37,1,2
9552,M S WALKER INC,5195,Jenkins Melon Liqueur,5,11,750,5949,28079,5921,32643,47450,4666,55552,19371,41,1,2
17035,PERNOD RICARD USA,6535,Sandeman Tawny Port,7,13,750,3932,28074,3871,32743,47198,429,123780,19124,41,1,2
17035,PERNOD RICARD USA,8027,Absolut Mandrin,2,2,50,18101,28057,17549,13984,34923,908,123780,6866,20,1,1
11567,CAMPARI AMERICA,1781,Wild Turkey Russell's Rsv,38,50,750,746,28042,927,22596,49046,731,20965,21004,43,1,2
9744,FREDERICK WILDMAN & SONS,2047,Sheep Dip Scotch,25,35,750,1104,27997,1132,33895,39859,893,4000,11861,30,1,1
3252,E & J GALLO WINERY,7262,Gallo Sweet Vermouth,4,5,750,7798,27995,7799,29031,42817,864,61967,14822,35,1,2
4425,MARTIGNETTI COMPANIES,16931,Caymus Spec Select Cab Svgn,110,166,750,254,27922,153,9793,25396,17,144929,-2526,-10,1,1
9165,ULTRA BEVERAGE COMPANY LLP,6608,Patron Roca Anejo Tequila,63,90,750,443,27891,411,29552,35881,324,68055,7990,22,1,1
3960,DIAGEO NORTH AMERICA INC,3458,Ciroc Amaretto Vodka,15,20,750,1841,27873,2795,36325,56042,2203,257032,28169,50,2,2
6785,PALM BAY INTERNATIONAL INC,33334,Cavit Pinot Grigio Delle Ve,6,9,187,4490,27838,4421,21288,39745,128,13605,11907,30,1,1
4425,MARTIGNETTI COMPANIES,45885,Mer Soleil Silver Chard,13,20,750,2144,27829,2054,23888,41059,228,144929,13230,32,1,1
17035,PERNOD RICARD USA,6975,Jacobs Crk Chard,5,8,750,5807,27816,5863,18876,41213,653,123780,13397,33,1,1
9815,WINE GROUP INC,41713,Fish Eye Merlot,3,5,750,8638,27814,8649,23057,46591,963,27100,18776,40,1,2
9815,WINE GROUP INC,23516,Chloe Pnt Nr,8,13,750,3663,27766,3565,24252,40203,396,27100,12438,31,1,1
6785,PALM BAY INTERNATIONAL INC,3929,Los Amantes Mezcal,31,50,750,891,27755,886,31866,36598,699,13605,8843,24,1,1
11567,CAMPARI AMERICA,4818,Skyy Infusions Pacific Blueb,8,10,750,3695,27749,3928,39553,51571,3096,20965,23821,46,1,2
9165,ULTRA BEVERAGE COMPANY LLP,7992,Patron Anejo Tequila,6,7,50,4999,27744,4431,18628,30973,226,68055,3228,10,1,1
1128,BROWN-FORMAN CORP,1064,Jack Daniels Honey + Glass,18,27,750,1508,27732,2225,35873,51569,1753,68602,23837,46,1,2
4425,MARTIGNETTI COMPANIES,37541,Frogs Leap Cab Svgn Napa,19,28,750,1446,27720,902,32342,47278,100,144929,19558,41,1,2
4425,MARTIGNETTI COMPANIES,24493,Buehler Cab Svgn Napa,15,24,750,1878,27719,2950,34139,70718,329,144929,42998,61,2,3
9552,M S WALKER INC,38476,Adelsheim Pnt Nr Ore,16,27,750,1744,27712,1357,18039,33531,151,55552,5819,17,1,1
1392,CONSTELLATION BRANDS INC,33683,R Mondavi Privt Slct Chard,10,18,1500,2669,27704,2616,27360,47897,584,79529,20193,42,1,2
10000,MAJESTIC FINE WINES,17168,Kendall Jackson Vntrs Rsl Rs,6,10,750,4625,27704,4754,29702,48048,527,17588,20345,42,1,2
1392,CONSTELLATION BRANDS INC,15889,R M Woodbridge Malbec,6,9,1500,4656,27703,4547,25677,45803,1016,79529,18099,40,1,2
9165,ULTRA BEVERAGE COMPANY LLP,32832,Cesari Valpolicella Clsc Am,21,30,750,1338,27670,2231,28749,67758,249,68055,40088,59,2,2
4425,MARTIGNETTI COMPANIES,40621,Santa Margherita Prosecco V,11,18,750,2629,27657,2314,26135,43788,257,144929,16131,37,1,2
9165,ULTRA BEVERAGE COMPANY LLP,24151,Mas Janeil Cotes Roussillon,7,11,750,3773,27656,4895,29475,53796,544,68055,26140,49,1,2
6785,PALM BAY INTERNATIONAL INC,6828,Santa Rita RSV Cab Svgn,7,11,750,4177,27652,4285,24003,44889,477,13605,17237,38,1,2
9165,ULTRA BEVERAGE COMPANY LLP,24826,J Phelps Insignia 2012,133,200,750,207,27599,116,9400,23199,13,68055,-4400,-19,1,1
12546,JIM BEAM BRANDS COMPANY,2816,Auchentoshan 12 Yr Sngle Mlt,35,45,750,797,27584,753,28846,35098,594,123881,7514,21,1,1
12546,JIM BEAM BRANDS COMPANY,1836,Tyrconnell Irish Whiskey,22,30,750,1269,27575,1120,29965,35109,883,123881,7533,21,1,1
8664,"STOLI GROUP,(USA) LLC",1365,Stoli Mini Bar 5/50mLs Pack,6,8,50,4555,27558,5797,28636,46318,295,18544,18760,41,1,2
12546,JIM BEAM BRANDS COMPANY,3197,Pinnacle Vodka 100 Proof,15,21,1750,1798,27545,2359,30971,45590,4336,123881,18045,40,1,2
2242,DELICATO VINEYARDS INC,12069,Gnarly Head Pnt Grigio,5,8,750,5167,27540,5234,22373,43697,583,7983,16157,37,1,2
6785,PALM BAY INTERNATIONAL INC,5705,Bauchant Orange Liqueur,16,20,750,1721,27519,1741,27766,34803,1373,13605,7284,21,1,1
6785,PALM BAY INTERNATIONAL INC,14975,Cavit Moscato,4,7,750,6761,27517,6678,24019,47949,743,13605,20432,43,1,2
4380,CHARLES JACQUIN ET CIE INC,5185,Irish Manor Irish Cream,15,20,1750,1879,27452,2108,31335,41118,3875,1675,13666,33,1,1
3924,HEAVEN HILL DISTILLERIES,9109,Deep Eddy Ruby Red Vodka,1,1,50,36093,27431,34452,7263,34107,1800,14070,6677,20,1,1
9165,ULTRA BEVERAGE COMPANY LLP,7728,Great Western X Dry,6,9,750,4517,27418,4295,17013,42907,480,68055,15489,36,1,2
8892,TRINCHERO FAMILY ESTATES,17162,Menage a Trois Pnt Grigio,6,10,750,4469,27350,4363,23797,41533,485,11596,14183,34,1,2
12546,JIM BEAM BRANDS COMPANY,2821,Auchentoshan American Oak,28,37,750,976,27348,955,31623,36451,753,123881,9104,25,1,1
5455,MARSALLE COMPANY,2593,James Oliver American Whisky,24,35,750,1157,27317,1085,23392,30694,855,937,3377,11,1,1
8892,TRINCHERO FAMILY ESTATES,37840,Los Cardos Malbec Mendoza,5,9,750,5057,27308,5016,18177,40078,559,11596,12770,32,1,1
8112,MOET HENNESSY USA INC,1023,Hennessy VSOP Cognac + 50mL,36,46,750,760,27307,1845,22688,91707,1453,48347,64400,70,2,3
2000,SOUTHERN WINE & SPIRITS NE,25589,Dalliance Chardonnay,7,10,750,4122,27288,3871,16623,38671,432,19017,11384,29,1,1
5455,MARSALLE COMPANY,2655,James Oliver Rye Whisky,22,35,750,1246,27275,1145,25351,32319,903,937,5044,16,1,1
3960,DIAGEO NORTH AMERICA INC,3252,Smirnoff Sourced Cran Apple,8,13,750,3400,27268,2690,21318,29118,2120,257032,1850,6,1,1
1587,VINEYARD BRANDS INC,25295,Stark Conde Cab Svgn,7,10,750,3956,27257,3956,12847,39520,443,6070,12264,31,1,1
10754,PERFECTA WINES,2208,WhistlePig 10 Yr Old Rye,54,75,750,505,27245,1757,71720,128772,1384,28721,101528,79,3,5
9552,M S WALKER INC,27429,Grahams Six Grapes,13,22,750,2111,27232,2013,31311,41380,222,55552,14148,34,1,2
12546,JIM BEAM BRANDS COMPANY,8170,Courvoisier VS Cognac,2,3,50,12533,27197,10606,15536,31712,544,123881,4515,14,1,1
2242,DELICATO VINEYARDS INC,44337,Irony Cab Svgn,8,13,750,3222,27194,3033,21661,40313,337,7983,13119,33,1,1
17035,PERNOD RICARD USA,3620,Powers Signature Release,32,40,750,850,27192,801,27393,32032,632,123780,4840,15,1,1
9552,M S WALKER INC,24697,Schmitt Sohne Relax Pink Ros,7,10,750,4057,27182,3728,20492,39817,415,55552,12635,32,1,1
4425,MARTIGNETTI COMPANIES,37049,Argyle Willamette Pnt Nr,14,22,750,1998,27173,1929,22845,40335,214,144929,13162,33,1,1
6213,MHW LTD,4580,Casamigos Reposado Tequila,22,30,375,1213,27147,1398,31507,40090,547,9622,12943,32,1,1
4425,MARTIGNETTI COMPANIES,19821,Castello Chianti Classico,10,18,750,2625,27090,2966,31358,50408,329,144929,23318,46,1,2
12546,JIM BEAM BRANDS COMPANY,2204,Bowmore 25 Yr Single Malt,319,430,750,85,27073,6,2580,2580,5,123881,-24493,-949,0,0
3252,E & J GALLO WINERY,19376,The Naked Grape Pnt Grigio,12,18,3000,2272,27060,2243,24337,36038,1009,61967,8978,25,1,1
3252,E & J GALLO WINERY,20864,W Hill Est Merlot Cntrl Cst,9,13,750,3164,27052,3009,21253,37745,334,61967,10693,28,1,1
1128,BROWN-FORMAN CORP,1343,Jack Daniels Sinatra Select,123,166,1000,220,27051,244,33530,40502,256,68602,13450,33,1,1
4425,MARTIGNETTI COMPANIES,31558,J Lohr Los Osos Merlot,8,13,750,3205,27050,3977,33023,59884,442,144929,32834,55,1,2
3252,E & J GALLO WINERY,35578,Alamos Ridge Cab Svgn Mendza,5,10,750,5915,27032,5796,24124,50652,646,61967,23620,47,1,2
516,BANFI PRODUCTS CORP,18096,Bolla Amarone Valpolicella,21,32,750,1289,26992,1230,27715,39257,136,8510,12265,31,1,1
1655,FABRIZIA SPIRITS LLC,6049,Fabrizia Crema di Limoncello,15,20,750,1846,26933,1085,9192,18434,855,1825,-8499,-46,1,1
17035,PERNOD RICARD USA,7537,Avion Silver Tequila,71,110,1750,380,26927,573,32246,46980,1053,123780,20053,43,2,2
2242,DELICATO VINEYARDS INC,16317,Noble Vines 446 Chard Monter,8,11,750,3551,26917,3672,17270,38485,409,7983,11569,30,1,1
17035,PERNOD RICARD USA,1081,Chivas Regal with2 50mLs,29,37,750,924,26916,759,12872,23158,598,123780,-3758,-16,1,1
9165,ULTRA BEVERAGE COMPANY LLP,6116,Sogno di Sorrento Lemoncell,19,25,750,1442,26893,1311,28708,36331,1034,68055,9438,26,1,1
6213,MHW LTD,3279,Double Cross Vodka,22,30,750,1210,26874,1025,24847,32342,808,9622,5468,17,1,1
1392,CONSTELLATION BRANDS INC,23692,R Mondavi Merlot Napa,13,20,750,2118,26814,2036,30421,41228,225,79529,14414,35,1,2
2242,DELICATO VINEYARDS INC,13422,Gnarly Head Pnt Nr,6,10,750,4156,26806,4361,23189,44289,485,7983,17483,39,1,2
4425,MARTIGNETTI COMPANIES,21341,Essenciel Paradis Prvnc Rose,9,13,750,3133,26787,2963,17815,38580,330,144929,11793,31,1,1
10754,PERFECTA WINES,26442,Fortant Heritage Lang Rouge,11,16,750,2477,26752,1462,11689,23377,163,28721,-3374,-14,1,1
9552,M S WALKER INC,2607,Grand MacNish 12 Yr Old,17,22,750,1557,26749,1957,35294,43034,1544,55552,16285,38,1,2
8664,"STOLI GROUP,(USA) LLC",754,Stolichnaya Sticki Vodka,7,10,750,3612,26729,599,2867,5984,472,18544,-20745,-347,0,0
9552,M S WALKER INC,2214,James E Pepper Bourbon,22,30,750,1238,26716,1353,33404,47536,1067,55552,20820,44,1,2
3252,E & J GALLO WINERY,12747,Barefoot Cellars Pnt Nr,3,6,750,8138,26693,8220,21876,47936,916,61967,21244,44,1,2
4425,MARTIGNETTI COMPANIES,35413,Yellow Tail Shiraz Ausl,5,7,750,5652,26677,5770,23675,43744,641,144929,17067,39,1,2
9165,ULTRA BEVERAGE COMPANY LLP,36100,Carpineto Vino Nobile RSV d,21,30,750,1298,26661,1317,24382,39497,146,68055,12836,32,1,1
10754,PERFECTA WINES,36992,Duck Pond Willamette Pnt Nr,10,15,750,2648,26639,2640,25121,45362,293,28721,18723,41,1,2
1392,CONSTELLATION BRANDS INC,7423,Manischewitz Concord Kosher,5,9,1500,4863,26601,4571,24212,39193,1020,79529,12593,32,1,1
1392,CONSTELLATION BRANDS INC,46093,Mouton Cadet Rose,7,10,750,4072,26590,4026,23504,44978,448,79529,18388,41,1,2
653,STATE WINE & SPIRITS,40559,McManis Cab Svgn Cal,7,11,750,3676,26577,3599,21705,43440,401,8015,16863,39,1,2
4425,MARTIGNETTI COMPANIES,25714,Grgich Hills Cab Svgn Napa,38,63,750,693,26577,560,23924,36684,62,144929,10108,28,1,1
9165,ULTRA BEVERAGE COMPANY LLP,9360,KAH Blanco Tequila,36,45,750,738,26561,790,32728,38147,623,68055,11586,30,1,1
3664,WILLIAM GRANT & SONS INC,284,Milagro Tequila Anejo SBR,53,78,750,497,26555,445,30227,34331,351,30234,7776,23,1,1
2000,SOUTHERN WINE & SPIRITS NE,25046,Bully Hill Love My Goat Rd,6,9,750,4782,26540,4720,24548,44357,524,19017,17817,40,1,2
90024,VINILANDIA USA,44915,Broadbent Vinho Verde Wh,6,10,750,4112,26522,4148,22664,43733,462,2803,17210,39,1,2
3960,DIAGEO NORTH AMERICA INC,1798,Talisker Distillers Edition,51,70,750,519,26516,534,32125,37375,421,257032,10859,29,1,1
9552,M S WALKER INC,4140,Baroca White Rum,5,6,1000,5580,26505,5579,5151,33418,5858,55552,6913,21,1,1
1392,CONSTELLATION BRANDS INC,6356,Taylor Cream Sherry,5,8,1500,5133,26486,5056,28426,39386,1125,79529,12900,33,1,1
660,SAZERAC NORTH AMERICA INC.,5027,99 Apples Schnapps Liqueur,8,13,750,3525,26473,3463,38161,46523,2731,17932,20051,43,1,2
9744,FREDERICK WILDMAN & SONS,6542,Melini Borghi D'Elsa Chiant,4,9,750,7133,26463,8088,23617,57379,903,4000,30915,54,1,2
9165,ULTRA BEVERAGE COMPANY LLP,247,Gran Patron Platinum Tequil,156,200,750,169,26405,129,21079,25899,102,68055,-506,-2,1,1
9165,ULTRA BEVERAGE COMPANY LLP,3378,High West Rendezvous Rye,45,59,750,590,26367,330,14110,18942,260,68055,-7425,-39,1,1
7153,PINE STATE TRADING CO,28081,Gandia Hoya de Cadenas RSV,6,9,750,4785,26365,4842,22164,41830,539,15885,15464,37,1,2
9165,ULTRA BEVERAGE COMPANY LLP,15035,Morellino d Scansano Rsv,7,11,750,3592,26329,4296,17067,47213,480,68055,20884,44,1,2
3252,E & J GALLO WINERY,7680,Viniq Shimmery Glow,20,25,750,1337,26312,1104,15048,20577,871,61967,-5735,-28,1,1
4425,MARTIGNETTI COMPANIES,13948,Cade Cab Svgn Howell Mtn,51,75,750,519,26298,468,21884,40198,52,144929,13901,35,1,2
1392,CONSTELLATION BRANDS INC,12211,Black Box Rsl,11,17,3000,2384,26296,2365,29827,43544,1064,79529,17249,40,1,2
2000,SOUTHERN WINE & SPIRITS NE,36383,F Coppola Sofia Bl de Bl,9,14,750,2800,26292,2575,22103,39190,286,19017,12898,33,1,1
9165,ULTRA BEVERAGE COMPANY LLP,6193,Midnight Moon Moonshine,13,19,750,1987,26288,2150,31650,42089,1695,68055,15800,38,1,2
10754,PERFECTA WINES,26716,Arpa Brunello di Montalcino,22,32,750,1208,26286,898,11964,28727,100,28721,2441,8,1,1
12546,JIM BEAM BRANDS COMPANY,8171,Leroux Blackberry Brandy,1,1,50,37016,26281,34924,9906,34575,1819,123881,8293,24,1,1
1392,CONSTELLATION BRANDS INC,39717,Estancia Pnt Grigio Cal,5,10,750,5356,26244,5326,20192,49436,594,79529,23191,47,1,2
9165,ULTRA BEVERAGE COMPANY LLP,2682,The Glendronach 12 Yr Scotch,42,53,750,619,26239,666,31160,36802,526,68055,10563,29,1,1
4425,MARTIGNETTI COMPANIES,31466,Ch Carignan Brdx,15,22,750,1742,26235,1730,25336,39132,192,144929,12897,33,1,1
9815,WINE GROUP INC,13723,Big House Red,12,18,3000,2269,26230,2197,28934,38430,989,27100,12200,32,1,1
4425,MARTIGNETTI COMPANIES,27144,Bouchaine Pnt Nr Carneros,11,17,750,2324,26215,765,5955,13762,85,144929,-12452,-90,0,1
7245,PROXIMO SPIRITS INC.,168,Three Olives Strawberry,9,13,750,2929,26215,2631,23360,33555,2073,38995,7340,22,1,1
6785,PALM BAY INTERNATIONAL INC,19926,Santa Rita RSV Svgn Bl,7,11,750,4014,26211,3903,22973,40827,434,13605,14616,36,1,2
3252,E & J GALLO WINERY,34429,Frei Bros RSV Mendcno Merlot,12,17,750,2236,26206,2198,23922,37344,244,61967,11138,30,1,1
480,BACARDI USA INC,6225,St Germain Liqueur,3,4,50,8791,26197,8444,16323,33692,434,89286,7494,22,1,1
12546,JIM BEAM BRANDS COMPANY,2639,Bowmore Darkest Islay 15 Yr,52,71,750,500,26185,377,23913,27215,298,123881,1030,4,1,1
9552,M S WALKER INC,14991,Banshee Pnt Nr Sonoma Cnty,12,20,750,2182,26162,2381,21386,43594,265,55552,17432,40,1,2
1392,CONSTELLATION BRANDS INC,16326,Black Box Cab Svgn,3,4,500,9897,26128,9907,22022,41987,753,79529,15859,38,1,2
7239,REMY COINTREAU USA INC,1893,Port Charlotte Scotch Barley,44,55,750,593,26086,585,30860,35374,462,16979,9288,26,1,1
1128,BROWN-FORMAN CORP,809,Southern Comfort,13,18,1000,1985,26063,1984,23368,38106,2083,68602,12043,32,1,1
12546,JIM BEAM BRANDS COMPANY,5662,Skinnygirl W Peach Margarita,7,10,750,3624,26057,3628,29238,38891,2860,123881,12834,33,1,1
17035,PERNOD RICARD USA,6433,Avion Anejo Tequila,39,55,750,667,26046,682,32029,37473,538,123780,11427,30,1,1
516,BANFI PRODUCTS CORP,6859,C Y Toro Frontera Chard,5,9,1500,5544,26001,4688,20914,44892,1049,8510,18890,42,1,2
9165,ULTRA BEVERAGE COMPANY LLP,25289,Notre Dame Cousignac Vent 14,5,7,750,5578,25993,5179,15448,36201,578,68055,10208,28,1,1
4425,MARTIGNETTI COMPANIES,15827,Frisk Prickly Rsl,7,10,750,3850,25988,3739,16166,38675,417,144929,12687,33,1,1
9165,ULTRA BEVERAGE COMPANY LLP,9358,KAH Reposado Tequila,42,55,750,619,25986,691,35489,40413,545,68055,14427,36,1,2
9165,ULTRA BEVERAGE COMPANY LLP,32546,Artesa Carneros Pnt Nr,13,22,750,2064,25965,2454,24993,50959,273,68055,24994,49,1,2
99166,STARK BREWING COMPANY,3248,Stark Vodka,21,30,750,1212,25961,846,5398,25372,666,130,-590,-2,1,1
10754,PERFECTA WINES,18742,Ca'Momi Cab Svgn Napa,11,17,750,2306,25943,2865,27894,57193,319,28721,31251,55,1,2
3664,WILLIAM GRANT & SONS INC,5771,Art In The Age Snap,22,33,750,1158,25916,1153,30410,35592,910,30234,9676,27,1,1
3252,E & J GALLO WINERY,36620,Talbott Kali Hart Mtry Chard,11,17,750,2366,25908,2175,17511,37118,242,61967,11211,30,1,1
4425,MARTIGNETTI COMPANIES,42255,Ridge Three Valleys Sonoma,16,25,750,1586,25899,1676,24883,43970,186,144929,18071,41,1,2
4425,MARTIGNETTI COMPANIES,43359,David Bruce Pnt Nr RRV,27,40,750,958,25885,900,20604,36329,100,144929,10444,29,1,1
9552,M S WALKER INC,36199,Four Vines Naked Chard,8,14,750,3215,25881,3132,20555,38721,348,55552,12840,33,1,1
9165,ULTRA BEVERAGE COMPANY LLP,4018,Papa's Pilar Dark Rum,26,40,750,978,25878,831,24565,31221,655,68055,5343,17,1,1
12546,JIM BEAM BRANDS COMPANY,7070,Skinnygirl Margarita Wtrmn/L,9,13,750,2766,25862,2069,13296,21806,1630,123881,-4056,-19,1,1
90024,VINILANDIA USA,13225,Alphonse Dolly Sancerre Cvee,14,23,750,1900,25840,1802,25531,41357,200,2803,15517,38,1,2
9552,M S WALKER INC,4431,Screech Rum,11,15,750,2327,25830,2316,22584,34943,1825,55552,9113,26,1,1
12546,JIM BEAM BRANDS COMPANY,3941,Tres Generaciones Reposado,29,37,750,878,25778,839,26923,31917,662,123881,6139,19,1,1
9165,ULTRA BEVERAGE COMPANY LLP,2332,High West Bourye Whiskey,58,75,750,443,25752,54,3450,4049,43,68055,-21702,-536,0,0
8320,SHAW ROSS INT L IMP LTD,8696,Gekkeikan Plum Wine,7,11,750,3442,25746,3420,22674,37209,379,3152,11463,31,1,1
4425,MARTIGNETTI COMPANIES,2478,Ransom Old Tom Gin,26,36,750,987,25741,635,19537,22353,501,144929,-3388,-15,1,1
3252,E & J GALLO WINERY,18857,Barefoot Refresh Crisp White,4,6,750,6397,25716,6118,15827,36234,682,61967,10518,29,1,1
9552,M S WALKER INC,26153,Paul Dolan Svgn Bl 14 Potter,7,10,750,3860,25708,3509,13906,35055,392,55552,9347,27,1,1
9744,FREDERICK WILDMAN & SONS,25630,Marchesi di Barolo Barb DOCG,26,41,750,981,25673,470,5622,14178,53,4000,-11494,-81,0,1
1392,CONSTELLATION BRANDS INC,23649,Tom Gore Cabernet Svgn CA,8,13,750,3253,25666,2831,20030,35552,315,79529,9886,28,1,1
3664,WILLIAM GRANT & SONS INC,5702,Art In The Age Root Liqueur,22,30,750,1171,25633,1126,30113,34675,888,30234,9042,26,1,1
4425,MARTIGNETTI COMPANIES,22275,Markham Merlot,15,23,750,1711,25545,1698,23753,39727,188,144929,14182,36,1,2
4425,MARTIGNETTI COMPANIES,26558,King Est Pnt Nr Ore,17,26,750,1544,25538,1048,16794,27332,116,144929,1794,7,1,1
1392,CONSTELLATION BRANDS INC,13461,R M Woodbridge Moscato,6,9,1500,4343,25537,4314,28378,43681,962,79529,18144,42,1,2
10754,PERFECTA WINES,15194,Billecart-Salmon Brut Rose,52,78,750,494,25535,418,18791,31046,46,28721,5511,18,1,1
9552,M S WALKER INC,28114,Steele Chard Cal,11,16,750,2339,25448,2588,19222,43638,288,55552,18190,42,1,2
8664,"STOLI GROUP,(USA) LLC",8500,Stolichnaya Chocolat Kokonut,6,10,750,4051,25440,3920,16075,38166,3087,18544,12726,33,1,2
9165,ULTRA BEVERAGE COMPANY LLP,45769,Bonterra Svgn Bl Organic,7,12,750,3825,25436,4108,26589,49529,457,68055,24093,49,1,2
9552,M S WALKER INC,13807,Oh Schist Rsl,6,9,750,4271,25412,4197,19582,38657,467,55552,13245,34,1,2
2561,EDRINGTON AMERICAS,368,The Macallan 25 Yr Old,1016,1300,750,25,25391,21,16120,29120,17,9655,3729,13,1,1
8673,STE MICHELLE WINE ESTATES,19671,14 Hands Pinot Grigio,6,10,750,4309,25380,4361,22916,40353,485,15920,14973,37,1,2
7245,PROXIMO SPIRITS INC.,1070,Three Olives Vodka w3 50mls,10,13,750,2638,25378,1850,13555,26078,1457,38995,700,3,1,1
480,BACARDI USA INC,8617,Bacardi Black,7,12,750,3529,25374,3556,25799,39598,2803,89286,14225,36,1,2
10754,PERFECTA WINES,25387,G Vigouroux L Comtes Cahours,7,10,750,3781,25333,3781,13387,37772,423,28721,12439,33,1,1
2242,DELICATO VINEYARDS INC,16159,Gnarly Head Authentic Red,7,10,750,3672,25300,3717,21713,37354,413,7983,12054,32,1,1
4425,MARTIGNETTI COMPANIES,15009,Sean Minor Cab Svgn,13,20,750,2011,25298,1936,22889,38701,215,144929,13402,35,1,2
10754,PERFECTA WINES,17011,La Maialina Gertrude Red,9,14,750,2749,25291,2742,19191,37461,305,28721,12170,32,1,1
6213,MHW LTD,5502,RumChata Liqueur,1,1,50,32838,25285,30178,5916,29876,1578,9622,4591,15,1,1
4692,KOBRAND CORPORATION,25124,Jadot Burgundy Hills Wh 14,7,11,750,3539,25268,3510,16188,38575,392,9139,13306,34,1,2
8112,MOET HENNESSY USA INC,3640,Belvedere Cytrus Vodka,17,23,750,1527,25257,1631,23562,35993,1285,48347,10736,30,1,1
